"Date Made Public","Company","City","State","Type of breach","Type of organization","Total Records","Description of incident","Information Source","Source URL","Year of Breach","Latitude","Longitude"
"July 24, 2008","Village of Tinley Park","Chicago","Illinois","PORT","GOV","20,400","Computer backup tapes that contain 
          thousands of Social Security numbers of Tinley Park residents have been 
          lost. The tapes containing information from as long ago as 15 years 
          were lost while being transferred from the village hall to another site 
          within the Chicago suburb.","Dataloss DB","","2008","41.850033","-87.650052"
"July 24, 2008","Hillsborough Community College","Tampa ","Florida","PHYS","EDU","2,000","Hillsborough Community College warned 
          its employees to monitor their bank accounts because an HCC programmer's 
          laptop was stolen from a hotel parking lot in Georgia. The programmer 
          had been working on a payroll project for a group of employees using 
          their names, bank-routing numbers, retirement information and Social 
          Security numbers.","Dataloss DB","","2008","27.947522","-82.458428"
"July 24, 2008","University of Houston","Houston","Texas","DISC","EDU","259","The names and Social Security numbers 
          of University of Houston students were inadvertently posted on the Internet 
          for more than two years. The posting occurred when a math department 
          lecturer posted student grades on a UH Web server in October 2005.","Dataloss DB","","2008","29.763284","-95.363272"
"July 23, 2008","San Francisco Human Services Department","San Francisco","California","PHYS","GOV","0","Potentially thousands of files 
            contaning personal information was exposed after a San Francisco agency 
            left confidential files in unsecured curbside garbage and recycling 
            bins. In some cases entire case files were discarded. Blown up copies 
            of social security cards, driver's licenses, passports, bank statements 
            and other sensitive personal information were all left in these unlocked 
            bins.","Media","","2008","37.774930","-122.419416"
"July 19, 2008","Minneapolis Veterans Home","Minneapolis","Minnesota","STAT","GOV","336","A backup computer server stolen 
            from the Minneapolis Veterans Home contained telephone numbers, addresses, 
            next-of-kin information, dates of birth, Social Security numbers and 
            some medical information, including diagnoses for the home's 336 residents.","Dataloss DB","","2008","44.979965","-93.263836"
"July 17, 2008","Bristol-Myers Squibb","Jacksonville","Florida","PORT","BSO","42,000","A backup computer-data tape containing 
            employees' personal information, including Social Security numbers, 
            was stolen recently. The backup data tape was stolen while being transported 
            from a storage facility. The information on the tapes included names, 
            addresses, dates of birth, Social Security numbers and marital status, 
            and in some cases bank-account information. Data for some employees' 
            family members also were on the tape.","Dataloss DB","","2008","30.332184","-81.655651"
"July 17, 2008","University of Maryland","College Park","Maryland","DISC","EDU","23,000","University of Maryland accidentally 
            released the addresses and Social Security numbers of thousands of 
            students. A brochure with on-campus parking information was sent by 
            U.S. Mail to students. The University discovered the labels on the 
            mailing had the students' Social Security numbers on it.","Dataloss DB","","2008","38.980666","-76.936919"
"July 17, 2008","Department of Consumer Affairs","Sacramento","California","INSD","GOV","5,000","A Consumer Affairs personnel specialist 
            in Sacramento, emailed an alpha personnel file containing names and 
            Social Security numbers of the department's more than 5,000 staff 
            to a personal Yahoo email account at the end of the day, her last 
            day at the department.","Dataloss DB","","2008","38.581572","-121.494400"
"July 16, 2008","Greensboro Gynecology Associates","Greensboro","North Carolina","PORT","MED","47,000","A backup tape of patient information 
            was stolen from an employee who was taking the tape to an off-site 
            storage facility for safekeeping. The stolen information included 
            patients' names, addresses, Social Security numbers, employers, insurance 
            companies, policy numbers and family members.","Dataloss DB","","2008","36.072635","-79.791975"
"July 15, 2008","Weber Law Firm","Houston","Texas","PHYS","BSO","0","Sheriff's deputies uncovered hundreds 
          of people's personal financial files that had been discarded in a dumpster 
          in northwest Houston. Box after box of records including personal financial 
          records, documents with Social Security numbers, people's medical files 
          and more were found in the dumpster.","Dataloss DB","","2008","29.763284","-95.363272"
"July 15, 2008","Missouri National Guard","Jefferson City","Missouri","UNKN","GOV","2,000","The Missouri National Guard has 
            called for a criminal investigation after it learned that the personal 
            information of as many as 2,000 soldiers had been breached. The Guard 
            would not release how the personal information had been taken -- whether 
            by computer hackers or other means -- because it has asked for a full 
            law enforcement investigation into the matter.","Dataloss DB","","2008","38.576702","-92.173516"
"July 14, 2008","Washington Metropolitan Area Transit Authority","Washington","District Of Columbia","DISC","GOV","4,700","Metro accidentally published the 
          Social Security numbers of past and present employees on its Web site. 
          The numbers were posted with a solicitation to companies for workers' 
          compensation and risk management services.","Dataloss DB","","2008","38.895112","-77.036366"
"July 9, 2008","Wichita Radiological Group","Wichita","Kansas","INSD","MED","0","A former employee stole patient 
            records before being fired from the Wichita Radiological Group. Tens 
            of thousands of patient records were in the database could have been 
            compromised.","Media","","2008","37.692236","-97.337545"
"June 26, 2008","Texas Department of Public Safety","Austin","Texas","PHYS","GOV","826","The personal information of 826 
            state employees was stolen from a Wichita Falls home office. Notices 
            are in the mail to inform the hundreds of victims that their names, 
            home addresses, dates of birth, driver's license and Social Security 
            numbers are in the hands of criminals.","Dataloss DB","","2008","30.267153","-97.743061"
"June 24, 2008","Southeast Missouri State University      ","Cape Girardeau","Missouri","INSD","EDU","800","A former employee has been indicted 
          on two charges of identity fraud and one charge of computer trespass 
          after being found in possession of 800 student names and Social Security 
          numbers.","Dataloss DB","","2008","37.305884","-89.518148"
"June 19, 2008","Petroleum Wholesale","Houston","Texas","PHYS","BSO","0","The company dumped hundreds of 
            records in a publicly accessible trash container outside its former 
            headquarters. The records included receipts with customers' names 
            and full credit or debit card numbers, including expiration dates. 
            The records also included returned checks and forms containing customers' 
            names and bank routing, driver's license and Social Security numbers.","Dataloss DB","","2008","29.763284","-95.363272"
"June 18, 2008","Domino's Pizza","Tucson","Arizona","PHYS","BSR","0","Investigators found credit card 
            numbers blowing in the wind. These piles and papers contained hundreds 
            of old receipts from Domino's Pizza stores. The former owner had been 
            discarding boxes of old records and somehow all those receipts got 
            loose.","Media","","2008","32.221743","-110.926479"
"June 11, 2008","Dickson County Board of Education","Dickson","Tennessee","PORT","EDU","850","A computer containing sensitive 
            personal information was stolen from the Dickson County Board of Education. The 
            computer belongs to the new director of schools and was loaded with 
            the name and Social Security number of every school employee from 
            the 2006-2007 school year, a total of 850.","Dataloss DB","","2008","36.077005","-87.387790"
"June 10, 2008","1st Source Bank","South Bend","Indiana","HACK","BSF","0","1st Source Bank is replacing ATM 
          cards this month for all its account holders after cyber-thieves accessed 
          an unknown amount of debit-related data.","Dataloss DB","","2008","41.683381","-86.250007"
"June 10, 2008","University of Florida","Gainesville","Florida","DISC","EDU","11,300","Current and former students had 
          their Social Security numbers, names and addresses accidentally posted 
          online. The information became available when former student employees 
          of the Office for Academic Support and Institutional Service, or OASIS, 
          program created online records of students participating in the program 
          between 2003 and 2005.","Dataloss DB","","2008","29.651634","-82.324826"
"June 10, 2008","Wheeler's Moving Company","Boca Raton","Florida","PHYS","BSO","0","Personal files with tax information, 
            Social Security numbers and license numbers, were found in a Boca 
            Raton dumpster.","Media","","2008","26.358689","-80.083098"
"June 9, 2008","University of South Carolina","Columbia","South Carolina","STAT","EDU","7,000","Several items were stolen from an 
          office in the Moore School of Business. Among the items was a desktop 
          computer. As a result of the computer being stolen, it is possible that 
          some personally identifiable data could have been compromised.","Dataloss DB","","2008","34.000710","-81.034814"
"June 7, 2008","Southington Water Department","Southington","Connecticut","PHYS","GOV","26","Documents with the names and Social 
            Security numbers of 26 people were found scattered by the Quinnipiac 
            River.","Media","","2008","41.596487","-72.877601"
"June 7, 2008","East Tennessee State University","Johnson City","Tennessee","STAT","EDU","6,200","6,200 people may have had there 
          identities compromised by the theft of a desktop computer. The computer 
          is password protected and files cannot be easily accessed. But there 
          is a small possibility that the information could be compromised.","Dataloss DB","","2008","36.313440","-82.353473"
"June 6, 2008","Stanford University","Stanford","California","PORT","EDU","72,000","Stanford University determined that 
          a university laptop, which was recently stolen, contained confidential 
          personnel data. The university is not disclosing details about the theft 
          as an investigation is under way.","Dataloss DB","","2008","37.424106","-122.166076"
"June 4, 2008","Oregon State University","Corvallis","Oregon","HACK","EDU","4,700","The Oregon State Police are investigating 
            the theft of personal information from online customers of the OSU 
            Bookstore who used credit cards to purchase items.","Dataloss DB","","2008","44.564566","-123.262044"
"May 30, 2008","Circuit Court of Louisville  ","Louisville","Kentucky","PHYS","GOV","312","Louisville Metro Police made an 
            arrest, and during that arrest they found 312 stolen court traffic 
            files in that person's possession. All of the files contain personal 
            information of people in Louisville such as, name, address, date of 
            birth and in some cases Social Security numbers and copies of drivers' 
            licenses.","Media","","2008","38.254238","-85.759407"
"May 29, 2008","State Street Corp, Investors Financial Services","Boston","Massachusetts","STAT","BSF","45,500","Computer equipment containing 
            personal information on customers and employees of a State Street 
            unit was stolen. The computer equipment was stolen from a vendor hired 
            by Investors Financial Services to provide legal support services. 
            The personal information included names, addresses and Social Security 
            numbers.","Dataloss DB","","2008","42.358431","-71.059773"
"May 22, 2008","HealthSpring Inc.","Franklin","Tennessee","PORT","MED","9,000","A laptop computer containing personal 
            information of about 450 state residents was stolen. The laptop, believed 
            to contain names, dates of birth and Social Security numbers of about 
            9,000 individuals, was stolen from a HealthSpring employee's locked 
            car.","Dataloss DB","","2008","35.925064","-86.868890"
"May 21, 2008","Oklahoma Corporation Commission","Oklahoma City","Oklahoma","STAT","GOV","5,000","The Oklahoma Corporation Commission 
            is removing hard drives from all surplus computer equipment after 
            a server containing the names and Social Security numbers of thousands 
            of residents was sold at an auction.","Media","","2008","35.467560","-97.516428"
"May 20, 2008","New York University","New York","New York","DISC","EDU","273","Duke University's Fuqua School 
            of Business is notifying former New York University students that 
            some of their personal information was inadvertently accessible by 
            targeted Internet searches. The personal data included names and Social 
            Security numbers and was contained in the faculty member's research 
            records. The information could have been accessed only if searched 
            by specific student names, along with a search code for Social Security 
            numbers.","Dataloss DB","","2008","40.714269","-74.005973"
"May 17, 2008","University of Louisville","Louisville","Kentucky","PHYS","EDU","20","Documents being copied and taken 
            from a private office in the president's office, to its Internal 
            Audit Office and Department of Public Safety may have resulted in 
            a security breach. The documents contained personal information  -  
            including Social Security numbers, student and employee identification 
            numbers and salary information  -  for current and recent student 
            employees. The university learned of the theft when salary information 
            was shared anonymously with some employees in the office.","Dataloss DB","","2008","38.254238","-85.759407"
"May 16, 2008","Greil Memorial Psychiatric Hospital","Montgomery","Alabama","PHYS","EDU","0","Index cards containing patients 
            personal information, names, dates of birth, even Social Security 
            numbers are gone. Hundreds of records have simply disappeared.","Dataloss DB","","2008","32.366805","-86.299969"
"May 16, 2008","Amateur Athletic Union","Lake Buena Vista","Florida","PHYS","NGO","0","Boxes filled with personal information 
            were found in a dumpster. Information on athletes and their guardians 
            included Social Security numbers and copies of birth certificates.","Dataloss DB","","2008","28.393619","-81.538684"
"May 15, 2008"," BB&T Insurance","Harrisonburg","Virginia","PORT","BSF","0","A BB&T Insurance laptop containing 
            the personnel information of some Harrisonburg City Schools employees 
            was stolen. The laptop, used by an outside sales representative to 
            develop an insurance proposal for the school system, was stolen from 
            a car. The information contained names, dates of birth, Social Security 
            numbers, and, in some cases, medical history.","Dataloss DB","","2008","38.449569","-78.868916"
"May 14, 2008","Oklahoma State University","Stillwater","Oklahoma","HACK","EDU","70,000","A breach in an Oklahoma State 
            University computer server exposed names, addresses and Social Security 
            numbers of students, staff and faculty who bought parking and transit 
            services permits in the past six years.","Dataloss DB","","2008","36.115607","-97.058368"
"May 9, 2008","Princeton University Tower Club","Princeton","New Jersey","DISC","EDU","103","Tower Club is taking steps to 
            protect 103 of its alumni in the classes of 2006 and 2007 after a 
            spreadsheet listing their names and Social Security numbers was e-mailed 
            to current club members. The document was attached to an apparently 
            unrelated e-mail that informed current members about a club event. 
            The spreadsheet was attached unintentionally because of a technical 
            glitch in an email program.","Dataloss DB","","2008","40.348718","-74.659047"
"May 8, 2008","Las Cruces Public Schools","Las Cruces","New Mexico","DISC","EDU","1,800","A part-time computer analyst for 
            Las Cruces Public Schools inadvertently posted personal data for 50 
            special education students and 1,750 district employees on the Internet. 
            Information posted included Social Security number, date of birth, 
            name, the nature of disability and caseworker's name.","Dataloss DB","","2008","32.312316","-106.778337"
"May 6, 2008","Ohio State University Agricultural Technical Institute","Wooster","Ohio","DISC","EDU","192","Personal information on faculty 
            and staff members was accidentally emailed to about 680 students. 
            The email contained spreadsheet information listing the names, positions, 
            salaries and Social Security numbers.","Dataloss DB","","2008","40.805057","-81.935143"
"May 6, 2008","International Visa Service","Atlanta","Georgia","INSD","BSO","1,000","An employee has been arrested 
            and charged with stealing the personal information of people who were 
            applying for a passport and sold the identities on the black market.","Dataloss DB","","2008","33.748995","-84.387982"
"May 6, 2008","Northeast Security","West Haven","Massachusetts","PHYS","BSO","0","News Channel 8 found Social Security 
            numbers, bank account numbers and even canceled checks inside a dumpster. 
            The files appear to belong to Northeast Security, a subcontractor 
            for Safe Home Security, based out of Rocky Hill. Northeast Security 
            recently moved out of a West Haven storefront, and it seems they left 
            their clients personal information behind.","Dataloss DB","","2008","42.340828","-71.076581"
"May 5, 2008","Iredell County Tax Administration","Statesville","North Carolina","PHYS","GOV","486","A courier vehicle providing services 
            for First Citizens Bank was stolen in Charlotte. The stolen shipment 
            contained a computer report of taxpayer's check information, including 
            account numbers, check numbers, check amounts and routing numbers 
            from various banks on which the checks were drawn. There were also 
            copies of tax bills that contained taxpayer names, addresses and other 
            public information related to tax payments.","Dataloss DB","","2008","35.782636","-80.887296"
"May 4, 2008","Staten Island University Hospital","Staten  Island","New York","STAT","MED","88,000","Computer equipment stolen from 
            an administrator contained personal information from patients. Social 
            Security numbers and health insurance numbers were contained in computer 
            files on a desktop computer and the backup hard drive.","Dataloss DB","","2008","40.583438","-74.149588"
"May 2, 2008","Marine Corps Reserve Center","San Antonio","Texas","INSD","GOV","17,000","A former U.S. military contractor 
            has pleaded guilty to exceeding authorized access to a computer and 
            aggravated identity theft after he was accused of selling names and 
            Social Security numbers of 17,000 military employees.","Media","","2008","29.424122","-98.493628"
"May 1, 2008","Cove Creek Mortgage, Front Range Mortgage","Englewood","Colorado","PHYS","BSF","0","Sensitive mortgage files with 
            people's personal information were recently found in a Dumpster. The 
            files and computers contained sensitive information on many former 
            customers of Front Range Mortgage, including names and addresses, 
            Social Security numbers and bank, credit card and investment account 
            information.","Media","","2008","39.647765","-104.987760"
"April 28, 2008","Hough, MacAdam & Wartnik","North Bend","Oregon","PORT","BSO","500","A notebook computer was stolen 
            from a locked vehicle. The notebook's hard drive may have contained 
            names, Social Security numbers, and other personal information.","Dataloss DB","","2008","43.406501","-124.224280"
"April 27, 2008","General Internal Medicine of Lancaster","East Hempfield Township","Pennsylvania","PORT","MED","0","A laptop was stolen from a doctors' 
            office containing the Social Security numbers of patients.  The clinic is notifying 12,000 potential-affected patients.","Media","","2008","40.080410","-76.375305"
"April 25, 2008","Baltimore Highway Administration","Baltimore","Maryland","DISC","GOV","1,800","An employee transferred personnel 
            transaction data from a secure drive to a SHA shared drive. Sensitive 
            personal information concerning employees, included names and Social 
            Security numbers.","Dataloss DB","","2008","39.290385","-76.612189"
"April 24, 2008","Harmony Information Systems","Madison","Wisconsin","DISC","BSO","0","A computer program housing personal 
            information about Wisconsin seniors and disabled people had a significant 
            security hole. A senior center volunteer in McFarland said he could 
            see hundreds of files of people's private information from across 
            the country in the system run by Virginia-based Harmony Information 
            Systems. The information is entered into an electronic record that 
            includes the person's name and Social Security number.","Media","","2008","43.073052","-89.401230"
"April 24, 2008","Collections Lawyers Pellegrino  & Feldstein","Denville","New Jersey","DISC","BSO","530","Consumer information somehow escaped 
            the New Jersey law offices and ended up posted on several websites. 
            The Liberty Coalition discovered cached versions of an Excel file 
            that contained the full names, Social Security numbers, dates of birth, 
            addresses, account numbers, and financial information.","Dataloss DB","","2008","40.892321","-74.477378"
"April 23, 2008","University of Texas Health Science Center","Tyler","Texas","DISC","MED","2,000","About 2,000 medical bills were 
            mailed last week with patients' Social Security numbers visible on 
            the envelope.","Dataloss DB","","2008","32.351260","-95.301062"
"April 23, 2008","Southern Connecticut State University","New Haven","Connecticut","HACK","EDU","11,000","Southern Connecticut State University 
            is taking action to prevent its students from becoming victims of 
            identity theft. The move comes after a website with student and alumni 
            information was found to be easily accessible to hackers. It appears 
            that no financial information was accessed but Social Security numbers 
            were vulnerable.","Dataloss DB","","2008","41.308153","-72.928158"
"April 22, 2008","HealthNow New York","Buffalo","New York","PORT","MED","0","Clients may be at risk for identity 
            theft, after a former employee's laptop computer went missing with 
            confidential information several months ago. The potential information 
            includes names, dates of birth, Social Security numbers, addresses, 
            employer group names, and health insurance identifier numbers.","Media","","2008","42.886447","-78.878369"
"April 22, 2008","Central New England HealthAlliance","Leominster","Massachusetts","PORT","MED","384","Personal data could be at risk 
            of exposure after a home health nurse reported that her handheld computer 
            was missing. The unencrypted data include names, Social Security numbers, 
            and health insurance records.","Media","","2008","42.525091","-71.759794"
"April 22, 2008","Smithtown Post Office","Smithtown","New York","INSD","GOV","0","A Smithtown postal worker was 
            arrested after he stole credit cards from the mail and went on a shopping 
            spree.","Media","","2008","40.855931","-73.200669"
"April 19, 2008","Central Collection Bureau","Indianapolis","Indiana","STAT","BSO","700,000","A computer server containing Social 
            Security numbers and other personal information was stolen last month 
            from a Southside debt-collection bureau. The information includes 
            customer-billing records for Indiana businesses, including Citizens 
            Gas & Coke Utility, St. Vincent Health and Methodist Medical Group.","Dataloss DB","","2008","39.767016","-86.156255"
"April 17, 2008","University of Miami","Miami","Florida","PORT","MED","2,100,000","Computer tapes containing confidential 
            information of Miami patients was stolen last month when thieves took 
            a case out of a van used by a private off-site storage company. The 
            data included names, addresses, Social Security numbers or health 
            information.","Dataloss DB","","2008","25.774266","-80.193659"
"April 16, 2008","Hexter Elementary School","Dallas","Texas","PHYS","EDU","0","Employee and volunteer records 
            were found at a recycling bin near the school. It's unknow what type 
            of documents were found.","Media","","2008","32.802955","-96.769923"
"April 16, 2008","University of Virginia","Charlottesville","Virginia","PORT","EDU","7,000","A laptop stolen from a University 
            of Virginia employee contained sensitive information about students, 
            staff and faculty members. Stolen from an unidentified employee from 
            an undisclosed location in Albemarle County, the laptop contained 
            a confidential file filled with names and Social Security numbers.","Dataloss DB","","2008","38.029306","-78.476678"
"April 15, 2008","Oklahoma's Department of Corrections","Oklahoma City","Oklahoma","DISC","GOV","10,597","The names, addresses, and Social 
            Security numbers of tens of thousands of Oklahoma residents were made 
            available to the general public for a period of at least three years 
            on the ODC's website.","Media","","2008","35.467560","-97.516428"
"April 14, 2008","Stokes County High Schools","Danbury","North Carolina","STAT","EDU","800","A school computer containing the              names, test scores and Social Security numbers of students from three              Stokes County high schools was stolen from a locked closet.","Dataloss DB","","2008","36.409305","-80.205883"
"April 13, 2008","University of Toledo","Toledo","Ohio","DISC","EDU","6,488","Personal information of the University 
            of Toledo employees, the majority having worked on the Health Science 
            Campus in 1993 and 1999 - last month was inadvertently placed on a 
            server to which all employees had access. The information, which was 
            used for payroll purposes, included names, addresses, and Social Security 
            numbers and was accessible for about 24 hours.","Dataloss DB","","2008","41.663938","-83.555212"
"April 12, 2008","West Seneca School District","West Seneca","New York","HACK","EDU","1,800","Several current and former students 
            are believed to have broken into the school district's computer 
            system and copied secure files that included the personal information 
            and Social Security numbers of school employees","Dataloss DB","","2008","42.850059","-78.799755"
"April 11, 2008","New York-Presbyterian Hospital, Weill Cornell Medical Center ","New York","New York","INSD","MED","49,841","An admissions employee is accused 
            of selling 2,000 patients' data in an identity theft scheme and accessing 
            nearly 50,000 records illegitimately. Records contained names, phone 
            numbers and, in some cases, Social Security numbers of patients. The 
            employee has since been charged with one count of conspiracy involving 
            computer fraud, identity document fraud, transmission of stolen property 
            and sale of stolen property.","Dataloss DB","","2008","40.714269","-74.005973"
"April 10, 2008","Joliet West High School","Joliet","Illinois","HACK","EDU","0","A student using a school computer 
            last month was able to access personal information about every student 
            enrolled. The student allegedly downloaded a list of names and Social 
            Security numbers to his iPod.","Dataloss DB","","2008","41.525031","-88.081725"
"April 9, 2008","Norfolk's Community Services Board","Norfolk","Virginia","PHYS","NGO","30","The personal information of clients 
            of Norfolk's Community Services Board was compromised when a case 
            worker's briefcase was stolen. The briefcase was left in the worker's 
            car in a Virginia Beach parking garage, but someone smashed a window 
            and stole it. It's unclear what information was in the files but that 
            it likely included Social Security numbers.","Media","","2008","36.846815","-76.285218"
"April 8, 2008","  WellPoint","Indianapolis","Indiana","DISC","BSO","128,000","Personal information that may 
            have included Social Security numbers and pharmacy or medical data 
            for customers in several states was exposed online over the past year.","Dataloss DB","","2008","39.767016","-86.156255"
"April 8, 2008","WellCare Health Plans Inc.","Atlanta","Georgia","DISC","MED","71,000","Private records of members of 
            health insurance programs for the poor or working poor were accidentally 
            made available on the Internet for several days. Those whose data 
            was made available on the Internet included members of Medicaid, the 
            federal health program for the poor, and PeachCare for Kids, a federal-state 
            insurance plan for children of the working poor. About 10,500 members' 
            Social Security numbers may have been viewed by unauthorized people 
            on the Internet, all members of Medicaid or PeachCare. There is a 
            possibility that an initial 59,000 members may have had some personal 
            information made accessible.","Dataloss DB","","2008","33.748995","-84.387982"
"April 7, 2008","Pfizer Inc","New York","New York","PORT","BSO","800","A laptop was stolen by a burglar 
            from the home of a contractor who helps arrange planning travel and 
            meetings for Pfizer. Information on the laptop included names, credit 
            card numbers and, in some instances, credit card expiration dates, 
            various addresses and phone numbers, hotel loyalty program numbers 
            and other information. It did not appear that any Social Security 
            numbers or PIN codes were exposed.","Dataloss DB","","2008","40.714269","-74.005973"
"April 4, 2008","Harley-Davidson, Inc. (HOG)","Milwaukee","Wisconsin","PORT","BSO","60,000","A laptop computer containing certain 
            HOG members' personal information was determined to be missing from 
            their facilities. The personal information stored on the computer 
            included names, addresses, credit card numbers, their expiration dates, 
            and driver's license numbers.","Media","","2008","43.038903","-87.906474"
"April 1, 2008","Okemo Mountain Resort","Ludlow","Vermont","HACK","BSO","28,168","The Ludlow ski area announced 
            that its computer network was breached by an intruder who gained access 
            to credit card data including cardholder names, account numbers and 
            expiration dates.","Dataloss DB","","2008","43.395906","-72.700652"
"March 31, 2008","Advance Auto Parts","Roanoke","Virginia","HACK","BSR","56,000","The retailer reported that a network 
            intrusion had exposed financial information and was the subject 
            of a criminal investigation. Fourteen of the retailer's stores, including 
            locations in Georgia, Ohio, Louisiana, Tennessee, Mississippi, Indiana, 
            Virginia and New York, are believed to have been affected.","Dataloss DB","","2008","37.270970","-79.941427"
"March 29, 2008","Department of Human Resources","Atlanta","Georgia","PORT","GOV","0","A thief has stolen computer records 
            containing identifying information on current and former employees 
            of the state Department of Human Resources, including names, Social 
            Security numbers, birth dates and home contact information. An external 
            hard drive that stored a database was removed by an unauthorized person.","Dataloss DB","","2008","33.748995","-84.387982"
"March 29, 2008","San Quentin State Prison","San Quentin","California","PORT","GOV","3,500","A flash memory drive containing 
            names, birth dates and driver's license numbers of people who either 
            volunteered or visited San Quentin State Prison in a group tour has 
            been lost.","Media","","2008","37.941313","-122.484974"
"March 28, 2008","Antioch University","Yellow Springs","Ohio","HACK","EDU","70,000","A computer system that contained 
            personal information on about 70,000 people was breached by an unauthorized 
            intruder three times. The system contained the names, Social Security 
            numbers, academic records and payroll documents for current and former 
            students, applicants and employees.","Dataloss DB","","2008","39.806449","-83.886874"
"March 28, 2008","Museum of Science, Boston","Boston","Massachusetts","DISC","NGO","140","The museum has notified 140 patrons 
            that their names, credit card numbers, and other personal information 
            were exposed on the museum's website because of a contractor's error.","Dataloss DB","","2008","42.358431","-71.059773"
"March 26, 2008","Broward School District","Coconut Creek","Florida","HACK","EDU","38,000","An Atlantic Technical High School 
            senior hacked into a district computer and collected Social Security 
            numbers and addresses of district employees.","Dataloss DB","","2008","26.251748","-80.178935"
"March 22, 2008","Western Carolina University","Cullowhee","North Carolina","HACK","EDU","555","Someone had hacked into a computer 
            server and had access to the Social Security numbers of 555 graduates 
            of the university who had signed up for a newsletter.","Dataloss DB","","2008","35.313711","-83.176533"
"March 21, 2008"," Compass Bank","Birmingham","Alabama","INSD","BSF","1,000,000","A database containing names, account 
            numbers and customer passwords was stolen. A credit-card encoder and 
            software to encode the information onto blank cards was also used 
            to acquire information from ATMs. A former programmer at Birmingham, 
            Ala.-based Compass Bank stole a hard drive containing 1 million customer 
            records and used some of that information to commit debit-card fraud. 
            The thief had used the information stolen from Compass Bank's database 
            to create about 250 counterfeit debit cards. He was able to use about 
            45 of those cards to access and withdraw cash from customer accounts 
            at the bank before he was arrested.","Dataloss DB","","2008","33.520661","-86.802490"
"March 21, 2008","Rhode Island Department of Administration","Cranston","Rhode Island","PORT","GOV","1,400","A state computer disk containing 
            Social Security numbers is missing. The information was discovered 
            missing within the last two weeks when human resources staff members 
            who had relocated from Providence to Cranston could not find the data 
            on the server.","Dataloss DB","","2008","41.779823","-71.437280"
"March 20, 2008","Rampage Marketing Services","Columbus","Ohio","PHYS","BSO","0","The company, a licensed insurance 
            agency, threw 14 boxes of files containing sensitive financial and 
            medical information into a trash bin. An insurance agent for another 
            company noticed the boxes in the shared bin and sent them back to 
            the Insurance Department","Media","","2008","39.961176","-82.998794"
"March 20, 2008","Pennsylvania Department of State","Harrisburg","Pennsylvania","DISC","GOV","30,000","The state was forced to pull the 
            plug on a voter registration Web site after it was found to be exposing 
            sensitive data about voters. Because of a Web programming error, the 
            Web site was allowing anyone on the Internet to view data such as 
            the voter's name, date of birth, driver's license number, and political 
            party affiliation. On some forms, the last four digits of Social Security 
            numbers could also be seen.","Media","","2008","40.273700","-76.884418"
"March 19, 2008","Affordable Realty","Flint","Michigan","PHYS","BSO","0","Social Security numbers and financial 
            records of customers. Affordable Realty occupied office space inside 
            the Ben Agree building on Dort Highway for years. The company was 
            evicted and all of its sensitive customer information ended up outside 
            in a dumpster or on the ground nearby.","Dataloss DB","","2008","43.012527","-83.687456"
"March 17, 2008","Binghamton University","Binghamton","New York","DISC","EDU","300","A university employee mistakenly 
            sent an e-mail attachment containing the names, grade point averages 
            and Social Security numbers of junior and senior accounting students 
            to another group of School of Management students.","Dataloss DB","","2008","42.098687","-75.917974"
"March 12, 2008","  Harvard University","Cambridge","Massachusetts","HACK","EDU","6,600","Harvard Graduate School of Arts 
            and Sciences (GSAS) Web server may have compromised 10,000 sets of 
            personal information from applicants and students, including 6,600 
            Social Security numbers and 500 Harvard ID numbers.","Dataloss DB","","2008","42.375097","-71.105608"
"March 10, 2008","Central Florida Regional Hospital","Sanford","Florida","PHYS","MED","28","The medical records of Central 
            Florida Regional Hospital patients were sold last month at a Salt 
            Lake City surplus store for about $20. The records were sold to a 
            local school teacher looking for scrap paper for her fourth-grade 
            class. The records contained detailed medical histories, phone numbers, 
            addresses, Social Security numbers and insurance information. They 
            were lost en route to a Medicare auditor in Las Vegas, NV.","Media","","2008","28.799681","-81.278351"
"March 10, 2008","Texas Department of Health and Human Services","Austin","Texas","STAT","MED","0","Information, including Social 
            Security numbers that could be used to steal Medicaid clients' identity 
            may have been stored on two computers stolen during a burglary. Computers 
            could have contained personal information only on e-mails. The e-mails, 
            however, would normally contain only an individual's case number. 
            It is unlikely those e-mails would have listed Social Security numbers.","Media","","2008","30.267153","-97.743061"
"March 10, 2008","Blue-Cross Blue-Shield of Western New York","Buffalo","New York","PORT","MED","40,000","A laptop hard-drive containing 
            vital information about members has gone missing. Blue-Cross Blue-Shield 
            of Western New York says it is notifying its members about identity 
            theft concerns after one of it's company laptops went missing.","Dataloss DB","","2008","42.886447","-78.878369"
"March 8, 2008","MTV Networks","Los Angeles","California","HACK","BSO","5,000","Computer files with confidential 
            data on employees at MTV Networks were breached by someone outside 
            the company. Personal information in the files included names, birth 
            dates, Social Security numbers and compensation data.","Dataloss DB","","2008","34.052234","-118.243685"
"March 5, 2008","Nevada Department of Public Safety","Carson City","Nevada","PORT","GOV","109","A private firm working for the 
            Nevada Department of Public Safety has lost a thumb drive containing personal information provided 
            by individuals seeking jobs with the agency. Data included Social 
            Security numbers, addresses and background check information.","Dataloss DB","","2008","39.163798","-119.767403"
